supplierSku,proposedHebrewTitle,supplierPrice,proposedSellingPrice,proposedSubcategory,importStatus
UK80965,"שרשרת כסף טהור 925 ""חי""",79.99,179,שרשראות כסף,IMPORTED
UK80966,"שרשרת כסף טהור 925 ""חי""",79.99,179,שרשראות כסף,IMPORTED
UK80969,"שרשרת כסף טהור 925 ""חי""",79.99,179,שרשראות כסף,IMPORTED
UK80986,"שרשרת כסף טהור 925 ""חמסה""",79.99,179,שרשראות כסף,IMPORTED
UK80971,"שרשרת כסף טהור 925 ""מגן דוד""",79.99,179,שרשראות כסף,IMPORTED
UK80974,"שרשרת כסף טהור 925 ""מגן דוד""",99.99,219,שרשראות כסף,IMPORTED
UK80987,"שרשרת כסף טהור 925 ""חמסה""",79.99,179,שרשראות כסף,IMPORTED
UK80984,"שרשרת כסף טהור 925 ""מפת ישראל""",79.99,179,שרשראות כסף,IMPORTED
UK80990,"שרשרת כסף טהור 925 ""מפת ישראל""",79.99,179,שרשראות כסף,IMPORTED
UK82904,"שרשרת כסף טהור 925",99.99,219,שרשראות כסף,IMPORTED
UK82908,"שרשרת כסף טהור 925",99.99,219,שרשראות כסף,IMPORTED
UK82911,"שרשרת כסף טהור 925",99.99,219,שרשראות כסף,IMPORTED
UK82905,"שרשרת כסף טהור 925",89.99,199,שרשראות כסף,IMPORTED
UK82906,"שרשרת כסף טהור 925",99.99,219,שרשראות כסף,IMPORTED
UK82907,"שרשרת כסף טהור 925",89.99,199,שרשראות כסף,IMPORTED
UK82909,"שרשרת כסף טהור 925",89.99,199,שרשראות כסף,IMPORTED
UK82910,"שרשרת כסף טהור 925",89.99,199,שרשראות כסף,IMPORTED
UK82903,"שרשרת כסף טהור 925",79.99,179,שרשראות כסף,IMPORTED
UK82912,"שרשרת כסף טהור 925",99.99,219,שרשראות כסף,IMPORTED
UK82913,"שרשרת כסף טהור 925",99.99,219,שרשראות כסף,IMPORTED
UK82914,"שרשרת כסף טהור 925",89.99,199,שרשראות כסף,IMPORTED
UK80976,"שרשרת כסף טהור 925 ""האש שלי""",99.99,219,שרשראות כסף,IMPORTED
UK80992,"צמיד כסף טהור 925 ""מגן דוד""",79.99,179,צמידים,IMPORTED
UK80980,"צמיד כסף טהור 925 ""חמסה""",49.99,109,צמידים,IMPORTED
UK80981,"צמיד כסף טהור 925 ""מגן דוד""",49.99,109,צמידים,IMPORTED
UK80982,"צמיד כסף טהור 925 ""מגן דוד""",49.99,109,צמידים,IMPORTED
UK80993,"צמיד כסף טהור 925 ""שמע ישראל""",89.99,199,צמידים,IMPORTED
UK80983,"צמיד כסף טהור 925 ""חמסה""",49.99,109,צמידים,IMPORTED
UK80997,"צמיד כסף טהור 925 ""שמע ישראל""",99.99,219,צמידים,IMPORTED
UK40385,"שרשרת רוז גולד עין עם שיבוץ אבנים 1 ס""מ",10.99,26,שרשראות,IMPORTED
UK40893,"שרשרת זהב עין עם שיבוץ אבנים 45 ס""מ",10.99,26,שרשראות,IMPORTED
UK41672,"שרשרת ניקל עין עם שיבוץ אבנים 45 ס""מ",10.99,26,שרשראות,IMPORTED
UK50454,"שרשרת עם תליון ""יברכך"" 4 ס""מ",13.99,34,שרשראות,IMPORTED
UK89697,"שרשרת עם תליון בצורת מזוזה 5 ס""מ",13.99,34,שרשראות,IMPORTED
UK40299,"שרשרת דמוי עור 4.5 ס""מ ""האש שלי"" וכרטיס ""שיוויתי""",10.99,26,שרשראות,IMPORTED
UK40300,"שרשרת דמוי עור 4.5 ס""מ ""האש שלי"" וכרטיס ""שיוויתי""",10.99,26,שרשראות,IMPORTED
UK40301,"שרשרת דמוי עור 4.5 ס""מ ""האש שלי"" וכרטיס ""שיוויתי""",10.99,26,שרשראות,IMPORTED
UK40302,"שרשרת דמוי עור 4.5 ס""מ ""האש שלי"" וכרטיס ""שיוויתי""",10.99,26,שרשראות,IMPORTED
UK40303,"שרשרת דמוי עור 4.5 ס""מ ""האש שלי"" וכרטיס ""שיוויתי""",10.99,26,שרשראות,IMPORTED
UK49179,"שרשרת דמוי עור 4.5 ס""מ עם אותיות בולטות וכרטיס ""שיוויתי""",10.99,26,שרשראות,IMPORTED
UK80694,"קופסא מהודרת לתכשיטים קומה 1 עם הדפסה כסף 21X12X6 ס""מ",54.99,129,קופסאות תכשיטים,IMPORTED
UK80699,"קופסא מהודרת לתכשיטים 2 קומות עם הדפסה כסף 11X16X16 ס""מ",89.99,199,קופסאות תכשיטים,IMPORTED
UK80726,"קופסא מהודרת לתכשיטים 3 קומות עם הדפסה זהב 12X14X18 ס""מ",109.99,249,קופסאות תכשיטים,IMPORTED
